employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
65438,Sales & Marketing,7,Master,f,sourcing,1,35,5,8,0,49,0
65141,Operations,2,Bachelor,m,other,1,30,5,4,0,60,0
7513,Sales & Marketing,8,Bachelor,m,sourcing,1,34,3,7,0,50,0
2542,Sales & Marketing,3,Bachelor,m,other,2,39,1,10,0,50,0
48945,Technology,6,Bachelor,m,other,1,45,3,2,0,73,0
58896,Analytics,2,Bachelor,m,sourcing,2,31,3,7,0,85,0
20379,Operations,2,Bachelor,f,other,1,31,3,5,0,59,0
16290,Operations,4,Master,m,sourcing,1,33,3,6,0,63,0
73202,Analytics,2,Bachelor,m,other,1,28,4,5,0,83,0
28911,Sales & Marketing,1,Master,m,sourcing,1,32,5,5,0,54,0
49017,Technology,7,Bachelor,f,sourcing,1,35,5,3,0,77,0
60051,Sales & Marketing,4,Bachelor,m,sourcing,1,49,5,18,0,98,1
38401,Sales & Marketing,2,Master,m,other,2,39,3,16,0,49,0
77040,Technology,2,Master,m,sourcing,1,37,3,7,0,80,0
43931,R&D,7,Bachelor,m,other,1,37,1,10,0,84,0
7152,Operations,2,Bachelor,m,other,1,38,3,5,0,60,0
9403,Technology,3,Bachelor,m,other,1,34,1,4,0,77,0
17436,Sales & Marketing,3,Bachelor,m,other,1,34,5,8,0,51,0
54461,Sales & Marketing,5,Bachelor,m,other,1,37,3,9,0,46,0
12067,Operations,4,Bachelor,m,other,1,35,3,7,0,59,0
58789,Procurement,1,Bachelor,f,other,1,28,3,4,0,75,0
71177,Operations,5,Bachelor,m,other,1,27,2,1,0,57,0
52057,Finance,2,Master,m,sourcing,2,39,5,7,0,63,0
26585,Procurement,2,Bachelor,m,other,1,27,5,3,0,70,0
37749,Finance,6,Bachelor,m,other,1,31,5,4,0,59,0
2370,Technology,6,Bachelor,m,other,1,33,4,4,0,83,0
8219,Procurement,5,Bachelor,m,other,1,29,5,3,0,68,0
74759,Technology,4,Bachelor,m,sourcing,1,26,3,1,0,79,0
27395,Analytics,5,Bachelor,m,sourcing,1,37,5,10,0,80,0
58536,Sales & Marketing,3,Bachelor,m,other,2,26,1,2,0,44,0
51756,Procurement,2,Bachelor,m,sourcing,2,57,4,6,0,72,0
57011,Finance,2,Bachelor,m,other,2,27,5,3,0,44,0
77064,Sales & Marketing,2,Bachelor,m,other,1,40,2,4,0,48,0
64062,Operations,8,Bachelor,m,sourcing,1,33,4,4,0,58,0
47123,Analytics,7,Bachelor,f,sourcing,1,40,5,3,0,87,0
56275,Sales & Marketing,1,Master,m,other,1,42,5,5,0,47,0
58304,Technology,8,Bachelor,m,sourcing,1,33,5,6,0,75,0
25014,Sales & Marketing,5,Bachelor,m,other,1,34,3,10,0,47,0
40097,Sales & Marketing,2,Bachelor,f,other,2,23,4,2,0,51,0
23560,Sales & Marketing,2,Bachelor,m,sourcing,1,59,5,26,0,98,1
61758,Technology,2,Bachelor,m,other,1,44,5,12,0,80,0
75009,Operations,7,Bachelor,f,sourcing,1,50,5,11,0,57,0
17876,HR,3,Master,f,other,1,37,4,4,0,52,0
36924,Sales & Marketing,6,Bachelor,m,sourcing,1,40,3,11,0,48,0
50408,Analytics,2,Bachelor,m,sourcing,1,30,3,3,0,88,0
18013,Procurement,2,Master,f,sourcing,1,56,3,12,0,71,0
24104,Procurement,2,Bachelor,m,sourcing,1,20,4,2,0,71,0
32083,Technology,5,Bachelor,f,sourcing,1,31,3,8,0,80,0
38330,Sales & Marketing,5,Bachelor,m,sourcing,1,40,3,12,0,49,0
50408,Procurement,2,Master,f,sourcing,1,56,3,12,0,73,0
18013,Finance,2,Bachelor,m,sourcing,1,20,4,2,0,60,0
24104,Sales & Marketing,5,Bachelor,f,sourcing,1,31,3,8,0,48,0
32083,Procurement,1,Bachelor,m,sourcing,1,40,3,12,0,65,0
38330,HR,2,Bachelor,m,other,1,30,1,6,0,50,0
33690,Operations,2,Bachelor,m,other,1,39,3,5,0,62,0
73161,Analytics,3,Bachelor,m,other,2,26,2,2,0,85,0
13596,Sales & Marketing,1,Bachelor,f,other,1,29,4,1,0,49,0
45709,R&D,2,Master,m,sourcing,1,40,3,5,0,84,0
32709,Sales & Marketing,6,Bachelor,m,other,2,27,5,1,0,47,0
26599,Sales & Marketing,1,Bachelor,m,other,1,40,4,7,0,52,0
32656,Sales & Marketing,4,Master,m,other,1,50,5,17,0,98,1
17673,Sales & Marketing,2,Bachelor,m,sourcing,1,25,3,3,0,53,0
3113,Analytics,8,Bachelor,f,other,1,28,1,1,0,80,0
9150,Sales & Marketing,1,Master,m,sourcing,1,35,4,2,0,52,0
14107,R&D,6,Bachelor,m,other,1,34,5,5,0,87,0
58747,Operations,3,Master,f,sourcing,1,31,3,3,0,58,0
3342,Finance,2,Bachelor,m,other,1,35,1,18,1,97,1
77981,Sales & Marketing,2,Bachelor,m,sourcing,1,35,1,15,0,97,1
16502,Procurement,1,Bachelor,m,other,1,30,4,6,0,75,0
73729,Analytics,3,Bachelor,m,other,1,30,5,18,0,97,1
45624,Operations,2,Bachelor,f,other,1,50,5,5,0,59,0
75677,Technology,2,Master,m,other,1,34,5,18,0,98,1
24040,Sales & Marketing,2,Master,f,sourcing,1,41,1,12,0,52,0
68082,Sales & Marketing,6,Bachelor,m,sourcing,1,32,4,6,0,44,0
51786,Sales & Marketing,7,Bachelor,m,other,1,50,3,14,0,52,0
77577,Sales & Marketing,2,Master,m,sourcing,1,38,5,18,0,92,1
54782,Sales & Marketing,7,Bachelor,m,sourcing,2,29,1,5,0,51,0
52368,Sales & Marketing,3,Bachelor,m,sourcing,1,35,4,3,0,53,0
75103,Analytics,2,Bachelor,m,other,1,25,3,2,0,91,0
75205,Sales & Marketing,2,Bachelor,m,sourcing,1,30,4,15,1,99,1
59147,Technology,2,Bachelor,m,other,1,47,3,7,0,79,0
53092,Operations,4,Master,m,sourcing,1,35,2,7,0,53,0
34564,Sales & Marketing,2,Bachelor,m,sourcing,2,25,3,2,0,53,0
66013,R&D,2,Bachelor,m,other,1,36,4,8,0,82,0
